turma,periodo,professor,horario,vagas_ocupadas,total_vagas,local,cod_disciplina,cod_unico_disciplina,cod_depto,nome_disciplina
01,2022.2,MAURO GIUNTINI VIANA (60h),5M1234,24,33,FAC,DAP0008,106.0,351,ARGUMENTO E ROTEIRO
01,2022.2,ISABELA LARA OLIVEIRA (60h),4T2345,29,30,FAC,DAP0011,107.0,351,CRIATIVIDADE EM PUBLICIDADE
01,2022.2,RAQUEL PACHECO MELLO CUNHA (60h),5M1234,40,38,FAC,DAP0021,108.0,351,CINEMA BRASILEIRO
01,2022.2,EDMUNDO BRANDAO DANTAS (30h),2M34,30,31,FAC,DAP0030,109.0,351,ADMINISTRAÇÃO PUBLICITÁRIA
01,2022.2,RAQUEL PACHECO MELLO CUNHA (60h),6M1234,27,29,FAC,DAP0042,110.0,351,DOCUMENTÁRIO 2
01,2022.2,EDMUNDO BRANDAO DANTAS (30h),6M12,29,35,Local à definir.,DAP0044,111.0,351,PESQUISA PUBLICITÁRIA
01,2022.2,EMILIA SILVEIRA SILBERSTEIN (30h),6M34,29,30,FAC,DAP0055,112.0,351,FOTOGRAFIA E ILUMINACAO 2
01,2022.2,SUELEN BRANDES MARQUES VALENTE (12h),5M1234,28,30,FAC,DAP0060,113.0,351,PUBLICIDADE E SOCIEDADE
01,2022.2,BEATRIZ BERALDO BATISTA (48h),5M1234,28,30,FAC,DAP0060,113.0,351,PUBLICIDADE E SOCIEDADE
01,2022.2,LUCIANO MENDES DE SOUZA (60h),4T2345,25,25,FAC,DAP0061,114.0,351,INTRODUCAO AS HISTORIAS EM QUADRINHOS
01,2022.2,JOAO BATISTA LANARI BO (60h),5M1234,38,40,FAC,DAP0067,115.0,351,HISTORIA DO CINEMA
01,2022.2,EMILIA SILVEIRA SILBERSTEIN (30h),5M12,21,22,FAC,DAP0076,116.0,351,FOTOGRAFIA E ILUMINAÇÃO 1
01,2022.2,EDUARDO BENTES MONTEIRO (60h),35T23,25,26,FAC,DAP0079,117.0,351,INTRODUÇÃO A FOTOGRAFIA
